id,name,description
1,Nike Running Shoes,Lightweight running shoes for daily workouts
2,Adidas Sneakers,Comfortable sneakers for casual wear
3,Puma Sports Shoes,Durable sports shoes for training
4,Apple iPhone 15,Latest smartphone with advanced camera
5,Samsung Galaxy S24,Android smartphone with AI features
6,MacBook Air M3,Lightweight laptop for students and professionals
7,Dell XPS 13,High-performance ultrabook with premium design
8,Canon EOS R50,Mirrorless camera for photography enthusiasts
9,Sony WH-1000XM5,Noise-cancelling wireless headphones
10,Apple Watch Series 9,Smartwatch with health tracking features